Ticker,Quarter & Year,Trading Volume 7 Day Average Prior to Call Date,Gross Margin ,Revenue (E8),Release Date,Stock Price on Release Date ,Call Date,Stock Price on Call Date,Stock Price Delta Between Dates,EPS Basic & Diluted,Revenue Delta,Gross Margin Delta,Trading Volume Delta,Beta Value at Call Date,"Rating Score (avg. - ROE, DCF, ROA)",Market Cap,Common Shares Outstanding at Call Date,VX,Polarity Mean,Postive/Negative + Neutral,Strong Polarity Count (>=0.8),Subjectivity ,Weak Polarity Count (>=-0.2)
TSLA ,2015 Q1,"27,024,364",0.2806,9.3988,3/31/2015,38.08,5/7/2015,47.36,0.2437,-1.22,-0.02,0.0178,0.0000,0.6312,3,7.31E+11,15432687922,sentiment,0.1,0.7780,0,0.4770,2
CAKE,2015 Q1,"936,391",0.1848,5.17973,3/31/2015,49.33,4/22/2015,50.84,0.0306,0.56,0.04,0.0087,0.0000,0.4684,3,2557555000,50305959.87,sentiment,0.105,0.9520,2,0.3170,0
XOM,2015 Q1,"11,662,000",0.1999,676.18,3/31/2016,85.01,4/30/2015,87.37,0.0278,1.17,1.53,-0.0138,0.0000,0.851,3,3.58E+11,4096772347,sentiment,0.08,0.7580,0,0.4030,2
WWW,2015 Q1,"2,271,080",0.3949,6.314,3/31/2016,33.45,4/28/2015,31.37,-0.0622,0.4,0.26,0.0033,0.0000,1.154,4,3371760000,107483583,sentiment,0.124,1.3260,2,0.4040,0
TSLA,2015 Q2,"23,215,626",0.2665,9.54976,6/30/2015,53.69,8/6/2015,49.22,-0.0833,-1.46,0.02,-0.0500,-0.1400,0.8586,2.67,6.65E+11,13503565421,sentiment,0.1205,0.7960,1,0.4460,3
CAKE,2015 Q2,"1,008,881",0.1891,5.29107,6/30/2015,54.52,7/23/2015,52.84,-0.0308,0.69,0.02,0.0200,0.0800,0.7083,3,2840944000,53765026.5,sentiment,0.0604,0.5700,1,0.3250,4
XOM,2015 Q2,"14,250,000",0.1997,741.13,6/30/2015,83.17,7/31/2015,79.21,-0.0476,1,0.10,0.0000,0.2200,0.8471,3,3.49E+11,4411564196,sentiment,0.0707,0.5620,0,0.3950,2
WWW,2015 Q2,"2,845,774",0.3927,-14.996,6/30/2015,28.46,7/21/2015,28.9,0.0155,-0.68,-3.38,-0.0100,0.2500,1.14,3.33,2893568000,100123460.2,sentiment,0.1205,1.0560,0,0.3810,1
TSLA,2015 Q3,"26,550,016",0.2549,9.36789,9/30/2015,49.68,11/4/2015,46.326,-0.0675,-1.79,-0.02,-0.0400,0.1400,0.7506,2.67,6.93E+11,14966239261,sentiment,0.1394,0.9060,1,0.4290,1
CAKE,2015 Q3,"1,311,336",0.1982,5.26688,9/30/2015,53.96,10/27/2015,49.6,-0.0808,0.51,0.00,0.0500,0.3000,0.3831,3,2509760000,50600000,sentiment,0.08449,0.6310,0,0.3560,1
